Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Jason Kipnis,CLE,121,511,17,52,65,7,0.078277886,0.17221135,0.165938865,0.264623955,0.244541484,0.304347826,0.410480349,0.301381239,0.316145566,85.50161673,0.943616374,-8.525391011,-6.321505547,0.352570704,Jason Kipnis,9776,543401
Yolmer Sánchez,CHW,149,555,2,59,43,5,0.079279279,0.21081081,0.068548387,0.32368421,0.252016129,0.317518248,0.320564516,0.28098406,0.273944328,72.68236373,0.883284735,-18.49431943,1.958649799,0.343070634,Yolmer Sanchez,11602,570560
Vladimir Guerrero Jr.,TOR,123,514,15,52,69,0,0.089494163,0.177042801,0.161637931,0.308333333,0.271551724,0.3385214,0.433189655,0.329092848,0.333190651,105.5294753,-2.324655158,1.307889975,-16.78820455,0.301584152,Vladimir Guerrero Jr.,19611,665489
Domingo Santana,SEA,121,507,21,63,69,8,0.098619329,0.3234714,0.188470067,0.347014925,0.252771618,0.328712871,0.441241685,0.326323697,0.344528324,107.1252174,-0.844576945,3.772531301,-20.7214179,0.13436129,Domingo Santana,10348,570267
Renato Núñez,BAL,151,599,31,72,90,1,0.073455759,0.238731218,0.216266174,0.272237196,0.243992606,0.310517529,0.46025878,0.323010272,0.334756848,98.55208088,-1.331264092,-2.439762579,-18.55016184,0.064965581,Renato Nunez,14503,600524
Miguel Cabrera,DET,136,549,12,41,59,0,0.087431693,0.196721311,0.115618661,0.335978835,0.281947261,0.346083788,0.397565922,0.318409831,0.331848593,96.98732103,-4.573506645,-6.687429722,-15.99759269,-0.275273903,Miguel Cabrera,1744,408234
Albert Pujols,LAA,131,545,23,55,93,3,0.078899082,0.124770642,0.185336049,0.237745098,0.244399185,0.304587155,0.429735234,0.308357545,0.32051597,89.94528947,-1.367427967,-8.371168577,-14.70080423,-0.326905397,Albert Pujols,1177,405395
Adam Jones,ARI,137,528,16,66,67,2,0.058712121,0.191287878,0.154639175,0.296495956,0.259793814,0.313092979,0.414432989,0.30818567,0.318309123,86.59861885,-0.95862501,-10.29437355,-11.04421759,-0.434486974,Adam Jones,6368,430945
Eric Hosmer,SDP,160,667,22,72,99,0,0.059970014,0.244377811,0.159935379,0.323462414,0.264943457,0.310344827,0.424878836,0.309090419,0.303586684,92.21279089,-5.688780212,-12.54166349,-18.05332088,-0.902301984,Eric Hosmer,3516,543333
Orlando Arcia,MIL,152,546,15,51,59,8,0.078754578,0.199633699,0.127530365,0.252659574,0.222672064,0.283088235,0.350202429,0.26877265,0.277079897,60.88468358,0.544826125,-27.63284877,0.653038025,-0.926562164,Orlando Arcia,13185,606115
Khris Davis,OAK,133,533,23,61,73,0,0.088180112,0.2739212,0.166320166,0.26433121,0.22037422,0.292682926,0.386694386,0.288933898,0.316983326,81.1005103,-2.582625561,-15.45744852,-13.67592382,-0.957779049,Khris Davis,9112,501981
